Material,Material Description,SLoc,Quantity,Pstng Date,,,,,,,,,,,,,
111,SCPU,5023,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/29/2026,,,,,,,,,,,,,
111,SCPU,5024,-1,1/30/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/30/2026,,,,,,,,,,,,,
